[  3] 14.50-14.60 sec  8.97 MBytes   753 Mbits/sec   0.011 ms    0/    0 (-nan%) -/-/-/- ms 67278 pps
[  3] 14.60-14.70 sec  9.18 MBytes   770 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 68728 pps
[  3] 14.70-14.80 sec  9.22 MBytes   773 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 69080 pps
[  3] 14.80-14.90 sec  9.26 MBytes   777 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 69280 pps
[  3] 14.90-15.00 sec  5.16 MBytes   433 Mbits/sec   0.018 ms    0/    0 (-nan%) -/-/-/- ms 68491 pps
[  3] 15.20-15.30 sec  6.23 MBytes   522 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 65741 pps
[  3] 15.30-15.40 sec  9.00 MBytes   755 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 67424 pps
[  3] 15.40-15.50 sec  9.04 MBytes   758 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 67662 pps
[  3] 15.50-15.60 sec  9.00 MBytes   755 Mbits/sec   0.009 ms    0/    0 (-nan%) -/-/-/- ms 67531 pps
[  3] 15.60-15.70 sec  9.02 MBytes   756 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 67427 pps
[  3] 15.70-15.80 sec  9.02 MBytes   757 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 67571 pps
[  3] 15.80-15.90 sec  9.01 MBytes   756 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 67435 pps
[  3] 15.90-16.00 sec  8.89 MBytes   745 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 66568 pps
[  3] 16.40-16.50 sec  7.25 MBytes   608 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 54278 pps
[  3] 16.50-16.60 sec  8.96 MBytes   752 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 67101 pps
[  3] 16.60-16.70 sec  8.98 MBytes   754 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 67251 pps
[  3] 16.70-16.80 sec  9.02 MBytes   757 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 67629 pps
[  3] 16.80-16.90 sec  9.09 MBytes   763 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 68171 pps
[  3] 16.90-17.00 sec  9.18 MBytes   770 Mbits/sec   0.016 ms    0/    0 (-nan%) -/-/-/- ms 68790 pps
[  3] 17.00-17.10 sec  9.22 MBytes   773 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 68979 pps
[  3] 17.50-17.60 sec  7.30 MBytes   612 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 54668 pps
[  3] 17.60-17.70 sec  8.62 MBytes   723 Mbits/sec   0.021 ms    0/    0 (-nan%) -/-/-/- ms 64533 pps
[  3] 17.70-17.80 sec  9.25 MBytes   776 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 69312 pps
[  3] 17.80-17.90 sec  9.24 MBytes   775 Mbits/sec   0.018 ms    0/    0 (-nan%) -/-/-/- ms 69302 pps
[  3] 17.90-18.00 sec  9.28 MBytes   778 Mbits/sec   0.019 ms    0/    0 (-nan%) -/-/-/- ms 69374 pps
[  3] 18.00-18.10 sec  9.22 MBytes   773 Mbits/sec   0.020 ms    0/    0 (-nan%) -/-/-/- ms 69116 pps
[  3] 18.10-18.20 sec  9.26 MBytes   777 Mbits/sec   0.019 ms    0/    0 (-nan%) -/-/-/- ms 69395 pps
[  3] 18.20-18.30 sec  9.20 MBytes   772 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68869 pps
[  3] 18.30-18.40 sec  9.11 MBytes   764 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 68170 pps
[  3] 18.40-18.50 sec  8.66 MBytes   726 Mbits/sec   0.025 ms    0/    0 (-nan%) -/-/-/- ms 64924 pps
[  3] 18.50-18.60 sec  8.44 MBytes   708 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 63316 pps
[  3] 18.60-18.70 sec  8.54 MBytes   716 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 63905 pps
[  3] 18.70-18.80 sec  8.48 MBytes   712 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 63532 pps
[  3] 18.80-18.90 sec  8.48 MBytes   711 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 63498 pps
[  3] 18.90-19.00 sec  8.55 MBytes   717 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 64011 pps
[  3] 19.00-19.10 sec  8.54 MBytes   716 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 63852 pps
[  3] 19.10-19.20 sec  8.52 MBytes   715 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 63899 pps
[  3] 19.20-19.30 sec  8.54 MBytes   717 Mbits/sec   0.025 ms    0/    0 (-nan%) -/-/-/- ms 63904 pps
[  3] 19.30-19.40 sec  8.55 MBytes   717 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 64099 pps
[  3] 19.40-19.50 sec  8.57 MBytes   719 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 64153 pps
[  3] 19.50-19.60 sec  8.55 MBytes   717 Mbits/sec   0.025 ms    0/    0 (-nan%) -/-/-/- ms 64054 pps
[  3] 19.60-19.70 sec  8.55 MBytes   717 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 64041 pps
[  3] 19.70-19.80 sec  8.54 MBytes   717 Mbits/sec   0.023 ms    0/    0 (-nan%) -/-/-/- ms 63993 pps
[  3] 19.80-19.90 sec  8.78 MBytes   737 Mbits/sec   0.024 ms    0/    0 (-nan%) -/-/-/- ms 65860 pps
[  3] 19.90-20.00 sec  8.81 MBytes   739 Mbits/sec   0.022 ms    0/    0 (-nan%) -/-/-/- ms 65972 pps
